,Artist ID,Name,Nationality,Gender,Birth Year,Death Year,age
7471,8514,Rene Portocarrero,Cuban,Male,1914.0,1985.0,71.0
7473,8516,Arthur Brower/The New York Times,American,Male,1916.0,1974.0,58.0
7475,8518,Pat Burns/The New York Times,American,Male,1909.0,1973.0,64.0
7478,8521,Anthony Camerano/Associated Press,American,Male,1909.0,1973.0,64.0
7484,8527,Francesca Woodman,American,Female,1958.0,1981.0,23.0
7493,8536,Sam Falk/The New York Times,American,Male,1901.0,1991.0,90.0
7500,8543,Carl T. Gosset Jr./The New York Times,American,Male,1924.0,1985.0,61.0
7503,8546,Horst Faas,German,Male,1933.0,2012.0,79.0
7504,8547,James C. Hare/Colliers Weekly,American,Male,1856.0,1946.0,90.0
7506,8549,Marc Allégret,French,Male,1900.0,1973.0,73.0
7518,8564,Norman M. Jeannero/Times World Wide Photos,American,Male,1889.0,1954.0,65.0
7520,8566,Arthur Wesley Dow,American,Male,1857.0,1922.0,65.0
7522,8568,Seydou Keïta,Malian,Male,1923.0,2001.0,78.0
7523,8569,Mike Lien/The New York Times from CBS News,American,Male,1936.0,1977.0,41.0
7526,8573,Meyer Liebowitz/The New York Times,American,Male,1906.0,1976.0,70.0
7530,8577,S.L.A. Marshall,American,Male,1900.0,1977.0,77.0
7534,8581,Larry C. Morris/The New York Times,American,Male,1924.0,1987.0,63.0
7559,8607,Robert Riger,American,Male,1924.0,1995.0,71.0
7567,8616,William E. Sauro/The New York Times,American,Male,1929.0,2001.0,72.0
7569,8618,Sammy Schulman/International News Photo,American,Male,1906.0,1980.0,74.0
7571,8620,Ernie Sisto/The New York Times,American,Male,1904.0,1989.0,85.0
7575,8624,Captain Cecil W. Stoughton,American,Male,1920.0,2008.0,88.0
7579,8628,George Tames/The New York Times,American,Male,1914.0,1994.0,80.0
7585,8634,Mario Cravo Neto,Brazilian,Male,1947.0,2009.0,62.0
7592,8641,Robert Walker/The New York Times,American,Male,1926.0,1979.0,53.0
7595,8644,Bert Six,American,Male,1902.0,1967.0,65.0
7596,8645,Freda Diamond,American,Female,1905.0,1998.0,93.0
7597,8646,Heinreich Löffelhardt,German,Male,1901.0,1979.0,78.0
7606,8655,Linnaeus Tripe,British,Male,1822.0,1902.0,80.0
7613,8665,Theodore C. Brookhart,American,Male,1898.0,1942.0,44.0
7620,8682,Sergio Berizzi,Italian,Male,1930.0,1976.0,46.0
7624,8688,Jens H. Quistgaard,Danish,Male,1919.0,2008.0,89.0
7642,8713,William M. Heynes,British,Male,1903.0,1989.0,86.0
7653,8845,Jacob Kohn,Austrian,Male,1791.0,1868.0,77.0
7665,8996,Alfred Roth,Swiss,Male,1930.0,1998.0,68.0
7728,9168,"Alfred H. Barr, Jr.",American,Male,1902.0,1981.0,79.0
7818,9406,Hilde Hubbuch,German,Female,1905.0,1971.0,66.0
7948,9768,Raymond Loewy,American,Male,1893.0,1986.0,93.0
8178,10328,Alvin Lustig,American,Male,1915.0,1955.0,40.0
8359,10779,René d'Harnoncourt,American,Male,1901.0,1968.0,67.0
8535,11277,George Him,British,Male,1900.0,1982.0,82.0
8536,11278,Jan Lewitt,British,Male,1907.0,1991.0,84.0
8539,11348,Christian Zervos,French,Male,1889.0,1970.0,81.0
8551,11663,Carl Van Vechten,American,Male,1880.0,1964.0,84.0
8555,11875,Kirill Zdanevich,Russian,Male,1892.0,1969.0,77.0
8556,11900,Velimir Khlebnikov,Russian,Male,1885.0,1922.0,37.0
8557,11904,Vladimir Mayakovsky,Russian,Male,1893.0,1930.0,37.0
8558,11947,Natan Al'tman,Russian,Male,1889.0,1971.0,82.0
8559,11967,Stéphane Mallarmé,French,Male,1842.0,1898.0,56.0
8565,12171,Nikolai Kul'bin,Russian,Male,1868.0,1917.0,49.0
8566,12172,Iurii Annenkov,Russian,Male,1889.0,1974.0,85.0
8567,12177,Lewis Carroll (Charles Lutwidge Dodgson),British,Male,1832.0,1898.0,66.0
8574,12328,Blaise Cendrars (Frédéric Sauser),French,Male,1887.0,1961.0,74.0
8579,12432,Vasilii Kamenskii,Russian,Male,1864.0,1961.0,97.0
8582,12501,Gustav Klutsis,Latvian,Male,1895.0,1938.0,43.0
8583,12508,Benjamin Péret,French,Male,1899.0,1959.0,60.0
8584,12509,Igor' Terent'ev,Russian,Male,1892.0,1937.0,45.0
8587,12614,Harold Rosenberg,American,Male,1906.0,1978.0,72.0
8589,12650,Iraklii Gamrekeli,Georgian,Male,1894.0,1943.0,49.0
8590,12660,Il'ia Zdanevich,French,Male,1894.0,1974.0,80.0
8592,12727,Naum Granovskii,Russian,Male,1898.0,1971.0,73.0
8593,12753,Antonin Artaud,French,Male,1896.0,1948.0,52.0
8596,12945,Vladimir Lebedev,Russian,Male,1891.0,1967.0,76.0
8607,13163,Bradbury Thompson,American,Male,1911.0,1995.0,84.0
8609,13248,Paul Valéry,French,Male,1871.0,1945.0,74.0
8610,13311,A. K. Barutchev,Russian,Male,1904.0,1976.0,72.0
8613,13398,Tristan Tzara,French,Male,1896.0,1963.0,67.0
8616,13470,Ivan Kliun,Russian,Male,1878.0,1943.0,65.0
8620,13574,William S. Burroughs,American,Male,1914.0,1997.0,83.0
8624,13706,Franz Roh,German,Male,1890.0,1965.0,75.0
8629,13929,Russell Lynes,American,Male,1910.0,1991.0,81.0
8631,14022,Shuzo Takiguchi,Japanese,Male,1903.0,1979.0,76.0
8641,14213,Michel Seuphor,French,Male,1901.0,1999.0,98.0
8642,14265,Guillaume Apollinaire,French,Male,1880.0,1918.0,38.0
8645,14423,Kiki (Kiki O. K.) Kogelnik,Austrian,Female,1935.0,1997.0,62.0
8647,14428,Kuzma Petrov-Vodkin,Russian,Male,1878.0,1939.0,61.0
8655,14729,Fritz Zeymer,Austrian,Male,1886.0,1940.0,54.0
8661,15558,Francis Carco,French,Male,1886.0,1958.0,72.0
8663,15683,Irene Delano,American,Female,1919.0,1982.0,63.0
8666,16189,Kay Sage,American,Female,1898.0,1963.0,65.0
8667,16212,Nancy Holt,American,Female,1938.0,2014.0,76.0
8668,16292,Philip L. Goodwin,American,Male,1885.0,1958.0,73.0
8669,16479,Katherine S. Dreier,American,Female,1877.0,1952.0,75.0
8671,16790,Anton Giulio Bragaglia,Italian,Male,1890.0,1960.0,70.0
8672,16811,Sokyu Ueda,Japanese,Male,1900.0,1968.0,68.0
